Country,Death
United States,982565
Brazil,625085
India,524002
Russia,376696
Mexico,304308
Peru,212906
United Kingdom,162147
Indonesia,156357
Italy,156357
Iran,141157
France,139275
Colombia,133019
Germany,124764
Argentina,120352
Poland,116124
Ukraine,108411
Spain,102218
South Africa,100471
Turkey,98615
Romania,65540
Philippines,60439
Chile,57597
Hungary,46266
Vietnam,43049
Czech Republic,40203
Canada,39485
Bulgaria,36953
Ecuador,35598
Malaysia,35569
